Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=a7537cdbe2ad7857,웹개발자와 펌웨어 엔지니어,후본 서울 양천구,"연봉 22,000,000원 - 24,000,000원",지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 웹개발자 1명 flask기반의 Python WAS개발이 가능한 개발자 자바스크립트 및 HTML5 개발 능통자 펌웨어개발자 1명 RTOS 경력자 우대 C언어 능통자...
https://kr.indeed.com/viewjob?jk=aa9fe8e9fd5c6f84,[EY한영] 컨설팅본부(Advisory) PI-Customer팀 경력직...,EY 4.0 대한민국,,"경력 3년 이상 10년 이하 경력 보유한 자 - 해외여행 결격사유가 없는 자 § 우대사항 - R, Python, SAS, SQL 등을 활용한 데이터 전처리 및 분석 모델링 경력 보유한자 우대 § 전형절차 - 1차..."
https://kr.indeed.com/viewjob?jk=003c11fc393d77d7,[개발]위메프오 서비스 개발총괄(정규직),위메프 2.3 대한민국,,"Javascript, ES6, React, Angularjs * Backend : PHP(Phalconphp), Python, JAVA(Spring Boot), MSA, ELK * Infra : AWS (EC2, RDS..."
https://kr.indeed.com/viewjob?jk=995f796d49d7095c,2020년 해외 R&D 석/박사 및 산학장학생,LG유플러스 3.8 서울,,"분야의 분석 수행 경험 보유 : 분석/모델링 Tool(R, SAS, Python 등) 및 관련 Skill 기반의 정형/비정형데이터 분석 기술 보유... 가공 역량 보유 - Java, python 등 프로그램 SKILL 보유..."
https://kr.indeed.com/viewjob?jk=b2cfcc7d4b79c216,[Search&Clova] Clova 챗봇 Platform 개발 신입/경...,네이버 대한민국,,"및 알고리즘에 대한 기본기 ) - Programming Skill · Java, Scala, Spark, Python 등 [우대사항 ] · Scala 경험자 또는 Scala 를 이용하여 웹 서버 백엔드 개발하고 싶은 분..."
https://kr.indeed.com/viewjob?jk=bb22e1b9b7683013,"Front End Software Engineer, TensorFlow",Google 4.3 서울,,"Programming abilities and proficiency with backend (Python, Java). Programming abilities and proficiency in TypeScript. About..."
https://kr.indeed.com/viewjob?jk=3a08c7089343733d,광고팀 - 분석가,Nexon 성남 분당구,,개선에 참여합니다. 지원자격 - 데이터 정제 및 머신러닝 기법 적용에 필요한 프로그래밍 능력 (R or Python) - SQL 기본 활용 능력 우대사항 - Spark를 활용한 데이터 처리 및 분석 능력 - 시각화...
https://kr.indeed.com/viewjob?jk=f775c2b405edea87,"Computer Vision Engineer, Perception – A...",NVIDIA 서울,,"PyTorch, etc). Strong programming skills in C++... python. Outstanding communication and teamwork skills as we work..."
https://kr.indeed.com/viewjob?jk=a39853230d5ceca8,Healthcare Real World Data Analyst 담당자,IQVIA 서울,,"HEOR 전반적인 업무 수행 Qualifications Claims Data 관련 분석 경력자 SAS / Python / R 등 통계 프로그래밍 언어 사용 가능자 통계학 전공자, 통계 및 Epidemiology 관련 석사..."
https://kr.indeed.com/viewjob?jk=a24b1ac91024ce54,교보악사자산운용 QUANT팀,교보악사자산운용 대한민국,,"0명 2. 지원자격 1) 2020년 2월 졸업 예정자 또는 졸업자 2) 통계패키지(R) 또는 프로그래밍 툴(Python) 사용 능력 필수(전공 불문) 3) 투자자산운용사, CFA, FRM 자격증 보유자 우대, 영어 능통자..."
https://kr.indeed.com/viewjob?jk=9501d92030085af2,RF Production Test Engineer,Qualcomm 4.1 서울,,"experiences Skills in scripting language programming... C++, Python and Perl. Hands-on experience on lab equipment..."
https://kr.indeed.com/viewjob?jk=092d062a6faa7139,데이터 분석가,카카오 4.2 성남 판교역,,"만한 무언가(실력/열정) 데이터 분석 업무를 수행할 수 있는 하나 이상의 언어 스킬 필수 (예. SQL, Python, R 등) 데이터 기반 프로젝트 경험이 있으신 분 (예: 통계 분석 프로젝트) 어떤 일이라도 중요하게 여기..."
https://kr.indeed.com/viewjob?jk=a771637c0eeffc26,[Search & Clova] NAVER Search 이미지 검색서버개발...,네이버 대한민국,,"필요역량] 이미지 검색서버 구축 , 운영 이미지 검색로직 개발 [자격요건 및 우대사항 ] C/C++/JAVA/python/ 개발 가능 수십대 이상으로 구축된 시스템 개발 , 운영 경험 Linux 환경에서의 개발 경험 IR..."
https://kr.indeed.com/viewjob?jk=eeb027369cdab361,분석 플랫폼 웹 프론트 엔지니어,Nexon 성남 분당구,,"CSS, Javascript 등 웹어플리케이션 개발을 위한 front-end 개발 가능 - Node, Python, C#, Java 중 최소 1개 언어에 대한 경험이 있는 분 - SQLServer, Mysql과 같은..."
https://kr.indeed.com/viewjob?jk=1b51ad0d9ab48803,각 부문별 수시,KIS채권평가 대한민국,,금융공학/수학 전공자 우대 - 관련업무 경력자 우대 - 프로그램밍 가능자(MSOffice/Matlab/Python 등) 우대 (3) 모집부서: <금융컨설팅> *포지션: 신입/경력 *담당업무: - 금융컨설팅/외부프로젝트...
https://kr.indeed.com/viewjob?jk=59b0ff5ce11a8952,Associate Solutions Engineer (Full Time)...,Cisco Systems 4.1 서울,,"experience in software languages. C, C++, C#, Java or Python are desired. • Must be able to legally live and work..."
https://kr.indeed.com/viewjob?jk=30279163f8f6cba7,마케팅(전략기획)신입~경력,비스퀘어 부산 해운대구,"연봉 30,000,000원 - 35,000,000원","- 개발 경력 3년 이상(학원, 교육 이수기간 제외) - 개발 언어 C++, Go, Java, PHP, Python, Nodejs 가능자 - 모바일 개발 언어 Java, Kotlin, Objective-c, Swift 가능자..."
